,p_value,odds_ratio,count_in_both,count_in_genelist_not_cell_type,count_in_cell_type_not_genelist,count_in_neither,adjusted_p_value
Suprabasal keratinocytes,4.524016635921081e-70,26.866237987563593,78,122,464,19498,4.47877646956187e-68
Basal keratinocytes,7.369658263665469e-38,21.508183825208718,43,157,251,19711,3.647980840514407e-36
Squamous epithelial cells,1.2879483540175355e-23,11.342235665100715,36,164,379,19583,4.250229568257867e-22
Serous glandular cells,1.4481101981866245e-18,13.18291054739653,25,175,214,19748,3.584072740511895e-17
Basal respiratory cells,2.150188549082821e-18,11.382658959537572,27,173,270,19692,4.257373327183986e-17
Ionocytes,3.2630991567023803e-14,9.86512304962926,22,178,247,19715,5.384113608558927e-13
Club cells,2.788075648406423e-10,9.90990990990991,15,185,162,19800,3.943135559889084e-09
Early spermatids,5.435286329674163e-10,0.1132054002315915,4,196,3049,16913,6.726166832971777e-09
granulocytes,1.288205384565095e-08,2.8950187466523833,46,154,1867,18095,1.4170259230216043e-07
neutrophil,4.1371234193335395e-07,3.1989351488173168,29,171,1005,18957,4.095752185140205e-06
Mucus glandular cells,2.9126461476321158e-06,7.346182357301705,10,190,142,19820,2.6213815328689042e-05
Hofbauer cells,5.443147401018995e-06,3.787444838625941,18,182,508,19454,4.14516609769908e-05
monocytes,5.321758963109274e-06,2.6159378817258494,33,167,1402,18560,4.14516609769908e-05
Basal squamous epithelial cells,1.3143311792529711e-05,4.330936839781793,14,186,341,19621,9.294199053288868e-05
Spermatocytes,1.7135995084562795e-05,0.06591657012075938,1,199,1414,18548,0.00011266165128603202
Oligodendrocyte precursor cells,1.8207943642186994e-05,0.1143658810325477,2,198,1620,18342,0.00011266165128603202
Late spermatids,1.9985739154133366e-05,0.3013548020995886,10,190,2968,16994,0.00011638753977995314
Inhibitory neurons,0.0001097844053737911,0.25919502364157815,6,194,2128,17834,0.000603814229555851
Excitatory neurons,0.0004228914070778839,0.32865835559513207,8,192,2246,17716,0.0019936309190814526
classical monocyte,0.00038375916711569656,3.446280991735537,12,188,363,19599,0.0019936309190814526
Distal enterocytes,0.0004150282955923314,2.7296204805748934,17,183,657,19305,0.0019936309190814526
Astrocytes,0.0005474139294400374,0.15133723140128263,2,198,1249,18713,0.0024633626824801685
Exocrine glandular cells,0.000858895657494633,4.31304537521815,8,192,191,19771,0.0036969856561725506
Macrophages,0.0015971243506825296,2.7625886718323693,13,187,490,19472,0.0065881379465654345
Ductal cells,0.0026083148619684554,4.008481199525284,7,193,179,19783,0.010328926853395082
myeloid DC,0.004208087427128199,2.8416702914310568,10,190,363,19599,0.016023102126372757
Oligodendrocytes,0.005640868070653261,0.3492331522015134,6,194,1624,18338,0.020683182925728627
Glandular and luminal cells,0.007302404241966121,2.7775576623744165,9,191,333,19629,0.025819214998380215
Langerhans cells,0.010214965294144287,2.2511043943269007,13,187,598,19364,0.03487177807311325
Alveolar cells type 2,0.011366377966943465,3.005790917403231,7,193,238,19724,0.037509047290913436
Syncytiotrophoblasts,0.015152097235018501,2.015474023246044,15,185,772,19190,0.04732453138652984
non-classical monocyte,0.01529681822594904,2.3189972674349533,10,190,443,19519,0.04732453138652984
Basal prostatic cells,0.016687167580640868,3.0714914780086,6,194,199,19763,0.05006150274192261
Hepatocytes,0.019305035902007252,0.22795845109894697,2,198,847,19115,0.05621172218525641
Kupffer cells,0.027196748012642463,2.256448814343551,10,190,455,19507,0.07692794437861725
Salivary duct cells,0.036937277505838355,3.318835731013717,4,196,122,19840,0.09623132823889467
Peritubular cells,0.035804450902822985,0.0,0,200,388,19574,0.09623132823889467
Fibroblasts,0.03681620642447649,0.0,0,200,403,19559,0.09623132823889467
Distal tubular cells,0.05521742973487821,0.0,0,200,366,19596,0.14016732163469084
intermediate monocyte,0.058369149841065754,2.188226094727435,8,192,373,19589,0.14446364585663773
Secretory cells,0.06250283435754761,2.7699189264746993,4,196,146,19816,0.15092147808285886
Ciliated cells,0.07035132413927812,0.1831766713492415,1,199,533,19429,0.15477291310641186
Microglial cells,0.06936058654885735,0.3633392544455753,3,197,803,19159,0.15477291310641186
Spermatogonia,0.0693794124690909,0.18531938630534076,1,199,527,19435,0.15477291310641186
Breast glandular cells,0.06875624687608024,2.677523989728342,4,196,151,19811,0.15477291310641186
eosinophil,0.08081822201815095,1.8168196291440344,10,190,562,19400,0.17001456438430845
Proximal enterocytes,0.07993280150698237,1.6517612161661106,14,186,870,19092,0.17001456438430845
NK-cell,0.08243130394390713,0.0,0,200,327,19635,0.17001456438430845
dendritic cells,0.08804246299319174,1.5628122560499609,17,183,1120,18842,0.1778817109454282
NK-cells,0.09372227955813288,0.38266404443617613,3,197,764,19198,0.18557011352510308
Extravillous trophoblasts,0.10967268294673753,1.6810347558850554,11,189,668,19294,0.2128940316024905
Paneth cells,0.11562423191199246,1.8442769665567593,7,193,385,19577,0.22013074921706255
Sertoli cells,0.1267535282931469,0.0,0,200,297,19665,0.232381468537436
Cardiomyocytes,0.1261738294678853,0.40234004574106097,3,197,728,19234,0.232381468537436
Smooth muscle cells,0.19154783329180733,0.2631875957326741,1,199,374,19588,0.34478609992525316
Oocytes,0.19895266482703375,0.5587392550143266,6,194,1047,18915,0.3455493652259007
Horizontal cells,0.19842080780282612,0.5052534562211981,4,196,775,19187,0.3455493652259007
Cytotrophoblasts,0.20555157089152226,1.691678929600455,7,193,419,19543,0.35085526755621904
Skeletal myocytes,0.25101867135860956,0.38760384914231066,2,198,507,19455,0.4212008214322432
Cone photoreceptor cells,0.3111290230744204,1.408944288655115,9,191,646,19316,0.49680279490915513
basophil,0.3088412191487128,1.3287059644227415,12,188,915,19047,0.49680279490915513
MAIT T-cell,0.3107027748900094,1.6770408163265307,4,196,240,19722,0.49680279490915513
Proximal tubular cells,0.33403299883260396,0.5477755955938861,4,196,717,19245,0.5089262995112909
Bipolar cells,0.33108026139826374,0.5657612685361915,4,196,695,19267,0.5089262995112909
Muller glia cells,0.3341435299821607,0.4409870517253068,2,198,447,19515,0.5089262995112909
Enteroendocrine cells,0.37245037350134463,1.424229266174555,4,196,282,19680,0.558675560252017
Alveolar cells type 1,0.3920536617917323,1.5254079254079254,5,195,330,19632,0.5707840076085514
Leydig cells,0.3895556261197417,0.298949291914116,1,199,330,19632,0.5707840076085514
Breast myoepithelial cells,0.4207250514869274,0.0,0,200,170,19792,0.6036489869160262
Gastric mucus-secreting cells,0.4619238996002692,1.3627097344720858,6,194,443,19519,0.6264447405537897
Erythroid cells,0.45447434070953663,0.45664983164983164,2,198,432,19530,0.6264447405537897
Pancreatic endocrine cells,0.4564711601434055,1.5123587480549958,3,197,199,19763,0.6264447405537897
T-reg,0.4532363088245155,0.4599138235501872,2,198,429,19533,0.6264447405537897
Undifferentiated cells,0.492903809543709,1.347954747217227,3,197,223,19739,0.659425366821989
Plasma cells,0.5374039054476105,0.6241927150607078,4,196,632,19330,0.6820895722988903
Endometrial stromal cells,0.530065843114758,0.3651282241465631,1,199,271,19691,0.6820895722988903
memory CD4 T-cell,0.5247906586694883,0.4010945415335788,1,199,247,19715,0.6820895722988903
naive CD8 T-cell,0.5327229184648284,0.35711046205758035,1,199,277,19685,0.6820895722988903
B-cells,0.5887633254092721,0.7210593066037143,6,194,821,19141,0.7378173318419992
memory B-cell,0.6381915653528699,0.6154559049645091,3,197,482,19480,0.7897620621241765
Rod photoreceptor cells,0.7095240546643963,0.7966612310328626,6,194,746,19216,0.8671960668120399
Melanocytes,0.7458884714949962,1.167611447984357,3,197,257,19705,0.9005238863171295
T-cells,0.7618616010062818,0.8384893531538771,10,190,1179,18783,0.901634409378032
naive CD4 T-cell,0.7650231352298453,1.0476731390436975,3,197,286,19676,0.901634409378032
Intestinal goblet cells,0.7812855314434357,1.1536199494206905,4,196,347,19615,0.9099678542694134
Adipocytes,0.8161380611052598,1.0407051282051283,5,195,480,19482,0.9395077680165199
plasmacytoid DC,0.8269157266179998,1.081471161883533,6,194,555,19407,0.9409730682204825
Mesothelial cells,1.0,0.8062405430826484,2,198,247,19715,1.0
gdT-cell,1.0,0.8820952891749352,2,198,226,19736,1.0
Collecting duct cells,1.0,0.8900613275613276,2,198,224,19738,1.0
Endothelial cells,1.0,0.8633549485050321,3,197,346,19616,1.0
Schwann cells,1.0,0.8315399516423229,3,197,359,19603,1.0
Cholangiocytes,1.0,0.9593045843045843,2,198,208,19754,1.0
Granulosa cells,1.0,0.79004329004329,2,198,252,19710,1.0
Lymphatic endothelial cells,1.0,0.8868185994667791,3,197,337,19625,1.0
naive B-cell,1.0,1.0063068651778329,5,195,496,19466,1.0
memory CD8 T-cell,1.0,0.8095590046809559,2,198,246,19716,1.0
Ovarian stromal cells,1.0,0.8095590046809559,2,198,246,19716,1.0
