term,p_value,category,gene_list,odds_ratio
keratinization,2.291836869036689e-22,BP,Genelist1,37.96309185822878
cornified envelope,2.7040959204617073e-21,BP,Genelist1,47.66309300455642
keratinocyte differentiation,3.028739857726279e-20,BP,Genelist1,18.589403973509935
epidermis development,4.244291103690393e-20,BP,Genelist1,10.67065868263473
skin development,3.2551543226915936e-18,BP,Genelist1,11.330048866458384
extracellular region,2.296525323402652e-17,BP,Genelist1,3.1109959649857784
epidermal cell differentiation,2.0011134140741627e-16,BP,Genelist1,12.428571428571429
extracellular space,2.7063923240235675e-14,BP,Genelist1,3.013990276610283
response to bacterium,8.103681452677322e-14,BP,Genelist1,5.919265649192656
biological process involved in interspecies interaction between organisms,9.329649603276012e-14,BP,Genelist1,3.9116134784254815
defense response,2.1844972285499404e-12,BP,Genelist1,3.6490838164213666
response to other organism,3.102968814278799e-12,BP,Genelist1,3.8526315789473684
response to external biotic stimulus,3.3435879475919435e-12,BP,Genelist1,3.844311377245509
response to biotic stimulus,7.88275391676605e-12,BP,Genelist1,3.7496406816781875
defense response to other organism,2.0223041121718275e-10,BP,Genelist1,3.944915254237288
epithelial cell differentiation,2.0653332758739496e-09,BP,Genelist1,4.744821872410936
vesicle,2.33442316817454e-09,BP,Genelist1,2.3204149532186116
response to external stimulus,6.181938223195355e-09,BP,Genelist1,2.6915852022235
inflammatory response,6.714984190289086e-09,BP,Genelist1,4.367887173555189
extracellular exosome,7.762532622326359e-09,BP,Genelist1,2.79450909792323
immune response,8.816577855588704e-09,BP,Genelist1,2.9891457670882446
extracellular vesicle,1.1601375792844876e-08,BP,Genelist1,2.758589569218645
extracellular membrane-bounded organelle,1.1795566016031947e-08,BP,Genelist1,2.757110867597313
extracellular organelle,1.1795566016031947e-08,BP,Genelist1,2.757110867597313
establishment of skin barrier,1.6083998026875065e-08,BP,Genelist1,37.27225130890052
cell periphery,1.93542097568666e-08,BP,Genelist1,1.9756937822591063
defense response to symbiont,2.991578479476754e-08,BP,Genelist1,3.683982683982684
response to molecule of bacterial origin,5.1459966084030964e-08,BP,Genelist1,6.4757152361942785
plasma membrane,6.512248341163223e-08,BP,Genelist1,1.9658143413007225
defense response to bacterium,9.257945101798572e-08,BP,Genelist1,6.687357816054599
response to stress,1.035841929281102e-07,BP,Genelist1,2.2783253734376587
response to lipopolysaccharide,1.6368012465085124e-07,BP,Genelist1,6.4516618157101275
tissue development,1.6924584256857617e-07,BP,Genelist1,2.7913091539893253
antimicrobial humoral response,1.8509489078483672e-07,BP,Genelist1,11.595486268467326
cellular response to chemical stimulus,1.1984853822657572e-06,BP,Genelist1,2.4157161689688773
immune system process,1.3951981714450244e-06,BP,Genelist1,2.3808310839067786
epithelium development,1.6581776592035029e-06,BP,Genelist1,3.2002367151224544
