csvfile,Ensembl,Ensembl_no_version,Expression,logFC,AveExpr,t,P.Value,adj.P.Val,B
Age.csv,ENSG00000244384.3,ENSG00000244384,underexpressed,-0.563857147601263,1.66105445109825,-26.2365189302759,1.88793969472004e-129,3.54139727935584e-125,284.586342385286
Age.csv,ENSG00000264618.2,ENSG00000264618,underexpressed,-0.718047481785424,2.09554624473434,-24.0438560238514,1.5555106400915001e-111,1.4589134293418198e-107,243.631558525109
Age.csv,ENSG00000265078.2,ENSG00000265078,underexpressed,-0.771525737486726,2.23233088009683,-23.9439238165231,9.76090871038747e-111,6.103170852981609e-107,241.815035956528
Age.csv,ENSG00000199135.1,ENSG00000199135,underexpressed,-0.681015628013897,1.96525980045392,-23.6303062028442,3.02835815228328e-108,1.42014855551324e-104,236.076487032452
Age.csv,ENSG00000207997.1,ENSG00000207997,underexpressed,-0.587478338886738,1.7890432015695,-23.3159492751643,9.142213957512321e-106,3.42979298830032e-102,230.383780182205
Age.csv,ENSG00000228253.1,ENSG00000228253,overexpressed,1.00721735732689,8.99234857690598,22.8118507824786,7.93508342205087e-102,2.4807715805138402e-98,221.440239453117
Age.csv,ENSG00000222511.2,ENSG00000222511,underexpressed,-0.508548030375999,1.54137223114341,-22.46774751466,3.6329520444998002e-99,9.735273492961029e-96,215.232486194161
Age.csv,ENSG00000221514.1,ENSG00000221514,underexpressed,-0.464516274002698,1.52356871609429,-22.1581554067693,8.59674612272262e-97,2.01572204712539e-93,209.786032668533
Age.csv,ENSG00000207139.1,ENSG00000207139,underexpressed,-0.503760705476282,1.53321816735092,-22.0424431443095,6.55787623450801e-96,1.3668071378544599e-92,207.779164462381
Age.csv,ENSG00000198763.3,ENSG00000198763,overexpressed,1.03837124225903,10.844725627297,21.6577351937966,5.3832857503920704e-93,1.00979674105854e-89,201.180537900213
Age.csv,ENSG00000198888.2,ENSG00000198888,overexpressed,0.912724415717418,11.0242814387229,21.6168139729036,1.0945870854959e-92,1.86656950452109e-89,200.467950753322
Age.csv,ENSG00000172209.6,ENSG00000172209,underexpressed,-0.460060296915298,1.63478008629019,-21.5697660877959,2.4726768982431398e-92,3.86520610477041e-89,199.592404254153
Age.csv,ENSG00000198886.2,ENSG00000198886,overexpressed,0.898788907011469,12.0846519449204,21.5182486081598,6.028069595215469e-92,8.69804072823475e-89,198.746900624796
Age.csv,ENSG00000263426.2,ENSG00000263426,underexpressed,-0.641756799558215,1.96941110062771,-21.2800087149516,3.65299266711571e-90,4.89448831783974e-87,194.674056638145
Age.csv,ENSG00000271199.1,ENSG00000271199,underexpressed,-0.400416948491573,1.74213410777179,-21.252556221793,5.85158036864214e-90,7.31759630366595e-87,194.163916616259
Age.csv,ENSG00000212907.2,ENSG00000212907,overexpressed,0.671011585878714,10.8007442699612,21.0106163188153,3.6616145724999104e-88,4.2927853844345803e-85,190.102038897598
Age.csv,ENSG00000224745.1,ENSG00000224745,underexpressed,-0.61912947900699,2.44549288306312,-20.9352605770814,1.32012106416165e-87,1.45663711303201e-84,188.834449367765
Age.csv,ENSG00000248527.1,ENSG00000248527,overexpressed,0.82090005548921,8.62329830399354,20.9068480875147,2.13936909871396e-87,2.22946030853758e-84,188.368681848272
Age.csv,ENSG00000221214.1,ENSG00000221214,underexpressed,-0.642830510574699,2.03131717631163,-20.7728459531782,2.07391501480888e-86,2.0474998867255198e-83,186.081557754504
Age.csv,ENSG00000198695.2,ENSG00000198695,overexpressed,1.07439816256331,9.616666489015,20.740636943345,3.57538726355004e-86,3.3533557144835795e-83,185.564168546837
Age.csv,ENSG00000230084.6,ENSG00000230084,underexpressed,-0.616387383186762,2.4721457180857,-20.7057994765455,6.44022249941194e-86,5.7526520782842496e-83,184.968805323811
Age.csv,ENSG00000202048.1,ENSG00000202048,underexpressed,-0.609102859048649,1.82805764446743,-20.6142292871055,3.0158459383946e-85,2.57141991420027e-82,183.410437132874
Age.csv,ENSG00000230046.1,ENSG00000230046,underexpressed,-0.360739793838571,1.2879829943151,-20.5777085409825,5.575817680457711e-85,4.5474429586967695e-82,182.694220125451
Age.csv,ENSG00000271394.1,ENSG00000271394,underexpressed,-0.908021813351604,2.64557097869367,-20.5593384666595,7.5936045903564e-85,5.93503478774605e-82,182.51563784014
Age.csv,ENSG00000238386.1,ENSG00000238386,underexpressed,-0.456264644706927,1.79642194128497,-20.5059237774961,1.86233766501235e-84,1.39734919681206e-81,181.588356917484
Age.csv,ENSG00000207199.1,ENSG00000207199,underexpressed,-0.7078036973354,2.19636118354083,-20.4111564081508,9.11442240958927e-84,6.5757052138106e-81,180.03870684438
Age.csv,ENSG00000198899.2,ENSG00000198899,overexpressed,0.755898074346674,11.5820067395355,20.4069937616539,9.77184799103715e-84,6.78890091169907e-81,179.957495519316
Age.csv,ENSG00000259935.1,ENSG00000259935,underexpressed,-0.513129145213231,2.02814780526467,-20.2991263684218,5.921425344381269e-83,3.96693202178228e-80,178.165986435852
Age.csv,ENSG00000201643.1,ENSG00000201643,underexpressed,-0.720413943059867,2.62075816680228,-20.2286147712043,1.91638337331142e-82,1.23956963160606e-79,177.016113184539
Age.csv,ENSG00000258044.1,ENSG00000258044,underexpressed,-0.582728309583814,2.06594264444045,-20.1357759817152,8.96028374623675e-82,5.602566750396959e-79,175.467605195473
Age.csv,ENSG00000222724.1,ENSG00000222724,underexpressed,-0.596788191537442,2.01186763494038,-20.1099121380267,1.37588177604881e-81,8.325416243588279e-79,175.039597212547
Age.csv,ENSG00000198727.2,ENSG00000198727,overexpressed,0.718812667659035,11.5479803367834,19.9150082575535,3.44544509942712e-80,2.0196768492204398e-77,171.836998768738
Age.csv,ENSG00000252250.1,ENSG00000252250,underexpressed,-0.497704136786908,1.76518556568205,-19.7949845212151,2.4784705080781398e-79,1.40882272092515e-76,169.865027500219
Age.csv,ENSG00000207988.1,ENSG00000207988,underexpressed,-0.614494581411015,2.12576365360803,-19.7515373209126,5.05309865979309e-79,2.78782425471761e-76,169.172936841538
